Ref,Val,Package,PosX,PosY,Rot,Side
C1,0.1µF,0603C,0.477520,25.026620,270.000000,bottom
C2,0.1µF,0603C,14.409420,22.880320,0.000000,bottom
C3,0.1µF,0603C,0.541020,6.370320,90.000000,bottom
C5,0.1µF,0603C,29.827220,25.826720,270.000000,bottom
C6,0.1µF,0603C,32.265620,25.852120,270.000000,bottom
C7,330nF,0603C,29.827220,22.169120,90.000000,bottom
C9,0.1µF,0603C,0.541020,16.149320,90.000000,bottom
R1,330R,0603R,59.255660,5.077460,90.000000,bottom
R2,10K,0603R,48.851820,46.781720,270.000000,bottom
R3,10K,0603R,-8.069580,4.160520,180.000000,bottom
R4,10K,0603R,43.797220,46.781720,270.000000,bottom
R5,10K,0603R,-8.069580,9.113520,180.000000,bottom
R6,10K,0603R,38.793420,46.781720,270.000000,bottom
R7,10K,0603R,-8.069580,14.142720,180.000000,bottom
R8,10K,0603R,32.189420,41.879520,180.000000,bottom
R9,10K,0603R,-8.069580,19.121120,180.000000,bottom
R10,10K,0603R,28.862020,46.781720,270.000000,bottom
R11,10K,0603R,-8.069580,24.099520,180.000000,bottom
R12,10K,0603R,23.858220,46.781720,270.000000,bottom
R13,10K,0603R,-4.094480,30.741620,270.000000,bottom
R14,10K,0603R,18.803620,46.781720,270.000000,bottom
R15,10K,0603R,-8.069580,34.107120,180.000000,bottom
R16,10K,0603R,13.926820,46.781720,270.000000,bottom
R17,10K,0603R,-8.069580,39.136320,180.000000,bottom
R18,10K,0603R,8.796020,46.781720,270.000000,bottom
R19,10K,0603R,-3.345180,46.527720,0.000000,bottom
R20,10K,0603R,56.802020,19.375120,90.000000,bottom
R21,100R,0603R,56.802020,23.058120,270.000000,bottom
R22,10K,0603R,29.052520,13.088620,270.000000,bottom
R23,10K,0603R,29.052520,9.405620,90.000000,bottom
R24,10K,0603R,53.830220,45.090080,90.000000,bottom
R25,330R,0603R,50.883820,25.877520,90.000000,bottom
R26,330R,0603R,50.833020,30.906720,90.000000,bottom
R27,3K5,0603R,52.433220,3.220720,90.000000,bottom
R28,10K,0603R,50.543460,6.850380,270.000000,bottom
R29,3K5,0603R,52.458620,10.688320,90.000000,bottom
R30,4K7,0603R,52.484020,6.865620,270.000000,bottom
U1,74HC32,SOIC-14,17.330420,28.382920,0.000000,bottom
U4,74LVC07,SOIC-14,6.535420,28.375920,0.000000,bottom
U5,74LVC07,SOIC-14,6.535420,18.596920,0.000000,bottom
U6,74LVC07,SOIC-14,6.535420,8.817920,0.000000,bottom
